[STEP-START] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=load_previous_mappings message="load previous mappings"
[STEP-DONE] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=load_previous_mappings elapsed_ms=0 message="previous mappings loaded"
[STEP-START] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_shopify_variants message="fetch Shopify DOBA variants"
[PROGRESS] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_shopify_variants step=2/6 item=13048/13048 percent=100% ok=13048 skipped=0 failed=0 message="shopify variants fetched"
[STEP-DONE] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_shopify_variants elapsed_ms=107076 message="shopify variants fetched"
[STEP-START] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_doba_candidates message="fetch Doba by Shopify candidate SKUs"
[PROGRESS] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_doba_candidates step=3/6 item=13048/13048 percent=100% ok=13048 skipped=0 failed=0 message="doba candidate lookup finished"
[STEP-DONE] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_doba_candidates elapsed_ms=1313741 message="doba candidate lookup finished"
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=53/13048 doba_sku=D0102HH7Q7P shopify_variant_id=gid://shopify/ProductVariant/51357847847218 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=54/13048 doba_sku=D0102HH7QE6 shopify_variant_id=gid://shopify/ProductVariant/51357848404274 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=55/13048 doba_sku=D0102HH7QBT shopify_variant_id=gid://shopify/ProductVariant/51357849059634 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=56/13048 doba_sku=D0102HH7QMP shopify_variant_id=gid://shopify/ProductVariant/51357850370354 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=57/13048 doba_sku=D0102HH7002 shopify_variant_id=gid://shopify/ProductVariant/51357851779378 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=58/13048 doba_sku=D0102HH7J46 shopify_variant_id=gid://shopify/ProductVariant/51357852336434 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=59/13048 doba_sku=D0102HH7J4T shopify_variant_id=gid://shopify/ProductVariant/51357852991794 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=60/13048 doba_sku=D0102HH547J shopify_variant_id=gid://shopify/ProductVariant/51357853745458 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=61/13048 doba_sku=D0102HH54C8 shopify_variant_id=gid://shopify/ProductVariant/51357854728498 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=62/13048 doba_sku=D0102HH5U2X shopify_variant_id=gid://shopify/ProductVariant/51357873471794 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=63/13048 doba_sku=D0102HH5U06 shopify_variant_id=gid://shopify/ProductVariant/51357883007282 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=64/13048 doba_sku=D0102HH5UBX shopify_variant_id=gid://shopify/ProductVariant/51357888053554 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=65/13048 doba_sku=D0102HH5UB2 shopify_variant_id=gid://shopify/ProductVariant/51357889986866 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=66/13048 doba_sku=D0102HH5UYP shopify_variant_id=gid://shopify/ProductVariant/51357891068210 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=67/13048 doba_sku=D0102HH5UW2 shopify_variant_id=gid://shopify/ProductVariant/51357894770994 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=68/13048 doba_sku=D0102HH5UKP shopify_variant_id=gid://shopify/ProductVariant/51357896671538 status=active reason_code=matched_by_exact_sku
